# PcbXY Version 1.0
# Date: Sat 04 Apr 2015 06:08:16 PM GMT UTC
# Author: Peter Monta
# Title: GNSS Firehose - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mil.  rotation in degrees.
# --------------------------------------------
C146,"0402.fp","0.1_uF",2252.26,2270.00,180,bottom
C145,"0402.fp","0.1_uF",2252.26,2148.00,180,bottom
C141,"0402.fp","0.1_uF",2714.26,2247.00,180,bottom
C144,"0402.fp","0.1_uF",2433.52,2024.00,180,bottom
C152,"0402.fp","0.1_uF",2248.00,2605.00,90,bottom
C151,"0402.fp","0.1_uF",2343.00,2605.00,90,bottom
C149,"0402.fp","0.1_uF",2784.26,2208.00,180,bottom
C150,"0402.fp","0.1_uF",2159.00,2605.00,90,bottom
C148,"0805.fp","10_uF",2540.00,2551.26,90,bottom
C54,"0402.fp","0.1_uF",1198.00,523.00,90,top
C47,"0402.fp","0.1_uF",1149.00,938.00,180,top
R11,"0402.fp","80",1078.00,938.00,180,top
C49,"0402.fp","0.1_uF",1149.00,810.00,180,top
R13,"0402.fp","80",1078.00,810.00,180,top
C51,"0402.fp","0.1_uF",1149.00,647.00,180,top
R15,"0402.fp","80",1078.26,647.00,180,top
C56,"0402.fp","0.1_uF",1183.00,750.00,270,top
C211,"0402.fp","0.1_uF",770.00,799.74,270,top
C212,"0402.fp","0.1_uF",771.00,926.00,90,top
C53,"0805.fp","10_uF",1057.00,506.00,0,top
C62,"0402.fp","0.1_uF",1196.00,1003.00,0,top
C58,"0402.fp","0.1_uF",1285.00,484.00,90,top
C57,"0402.fp","0.1_uF",1329.00,482.00,90,top
C202,"0402.fp","0.1_uF",1319.00,1548.00,270,top
C206,"0402.fp","0.1_uF",1659.74,1214.00,180,top
C205,"0402.fp","0.1_uF",1656.74,1426.00,180,top
C204,"0402.fp","0.1_uF",1320.00,1093.74,90,top
C203,"0402.fp","0.1_uF",1248.00,1134.74,90,top
C201,"0402.fp","0.1_uF",1251.00,1515.74,270,top
C41,"0402.fp","0.1_uF",1230.00,1436.00,0,top
C43,"0402.fp","0.1_uF",1204.00,1329.00,0,top
C42,"0402.fp","0.1_uF",1219.00,1218.00,0,top
C140,"0402.fp","0.1_uF",1113.74,1253.00,0,top
C139,"0402.fp","0.1_uF",1115.00,1290.00,0,top
R37,"0402.fp","49.9",1054.00,1272.00,90,top
C138,"0402.fp","0.1_uF",1115.00,1364.00,0,top
C137,"0402.fp","0.1_uF",1115.00,1402.00,0,top
R33,"0402.fp","49.9",1056.00,1388.00,90,top
U10,"QFN48_EP","unknown",1435.00,1320.00,0,top
R34,"0402.fp","60.4",413.00,674.00,90,top
R35,"0402.fp","60.4",515.00,675.26,90,top
R36,"0402.fp","249",464.26,691.00,0,top
C46,"0402.fp","0.1_uF",1852.00,598.00,180,top
R9,"0402.fp","150",1827.00,645.00,180,top
R10,"0402.fp","220",1825.74,700.74,270,top
C45,"0402.fp","0.1_uF",1749.00,644.00,180,top
C44,"0402.fp","0.1_uF",1731.48,684.00,180,top
C55,"0402.fp","0.1_uF",1714.00,933.00,180,top
C59,"0402.fp","0.1_uF",1716.00,724.00,0,bottom
C61,"0402.fp","0.1_uF",1556.00,483.00,90,top
C63,"0402.fp","0.1_uF",1716.00,760.00,0,bottom
C64,"0402.fp","0.1_uF",1570.00,1031.00,270,top
C66,"0402.fp","0.1_uF",1681.00,597.00,90,top
U9,"SOT-363","unknown",565.00,1975.00,0,top
U7,"QFN28_EP","unknown",990.00,1950.00,0,top
U6,"SOT-363","unknown",565.00,2605.00,0,top
U4,"QFN28_EP","unknown",990.00,2580.00,0,top
U3,"SOT-363","unknown",565.00,3235.00,0,top
U2,"QFN48_EP","unknown",1435.00,3210.00,0,top
L2,"0402.fp","6_nH",385.00,3195.00,90,top
C7,"0402.fp","100_pF",630.00,3370.00,0,top
C6,"0402.fp","100_pF",330.00,3210.00,0,top
C5,"0402.fp","10_nF",630.00,3410.00,0,top
R2,"0402.fp","5.1k",581.00,3151.00,180,top
L3,"0402.fp","47_nH",610.00,3320.00,90,top
C27,"0402.fp","100_pF",440.00,3210.00,0,top
C90,"0402.fp","100_pF",440.00,2580.00,0,top
C69,"0402.fp","100_pF",340.00,2580.00,0,top
L4,"0402.fp","6_nH",387.00,2565.00,90,top
L5,"0402.fp","47_nH",608.00,2692.00,90,top
C68,"0402.fp","10_nF",629.00,2781.00,0,top
C70,"0402.fp","100_pF",630.00,2743.00,0,top
C71,"0402.fp","100_pF",681.00,2629.00,0,top
R17,"0402.fp","86.6",740.00,2658.00,270,top
